Average Seek Time,Battery Capacity,Bus Speed,Cable Length,Cache Memory,Clock Speed,Data Transfer Rate,Height,Input,Length,Memory,Memory Speed,Memory Type,Output Voltage,Power Supply,Price,Reading Speed,Rotational Speed,Screen Size,Storage Capacity,Warranty,Weight,Width,Writing Speed,Resolution
,,,10 m,,1.47 GHz,,41.148 mm,100-240 VAC,179.83 cm,,,,,,,,,,0.24 TB,,35.00 g,83.82 mm,,1920*1080 Pixels
,,,0.95 m,,2.2 GHz,,43 mm,50/60 Hz / 1.5 A max,182.88 cm,,,,,,,,,,2.5  TB,,36.00 g,86.36 mm,,1920 x 1200 @ 60 Hz 1920 x 1080 @ 60 Hz 1680 x 1050 @ 60 Hz 1600 x 1200 @ 60 Hz 1440 x 900 @ 60 Hz 1280 x 1024 @ 60 Hz 1280 x 960 @ 60 Hz 1024 x 768 @ 60 Hz 800 x 600 @ 60 Hz 640 x 480 @ 60 Hz
,,,1.32 m,,4.2 GHz,,43.18 mm,100-240V ~2.5A,201.17 cm,,,,,,,,,,0.256 TB,,37.00 g,88.90 mm,,3840 x 2140 @ 120 Hz
,,,3.6576 m,,2.53 GHz,,43.2 mm,50/60Hz,213.36 cm,,,,,,,,,,0.000256 TB,,37.75 g,89.00 mm,,1920 x 1080 Full HD 1080P
,,,3.0 m,,3.10 GHz,,43.688 mm,DC12V-24V,304.8 cm,,,,,,,,,,0.256 TB,,37.99 g,90.00 mm,,1920 x 1080 at 60 Hz
,,,0.5 m,,1.50 GHz,,44 mm,100-240V~1.5A,365.76 cm,,,,,,,,,,0.002 TB,,38.00 g,91.44 mm,,9
,,,1.8288 m,,2.90 GHz,,44.704 mm,50 / 60Hz,457.2 cm,,,,,,,,,,3 TB,,40.00 g,93.98 mm,,600x600dpi
,,,0.5 m,,3.46 GHz,,45.72 mm,100-240V~2A,609.6 cm,,,,,,,,,,3.0  TB,,42.00 g,96.52 mm,,12.0MP / Video: 3840 x 2160p30 fps
,,,2 m,,2.5 GHz,,48.26 mm,50 / 60Hz,762 cm,,,,,,,,,,0.03  TB,,43.00 g,99.06 mm,,8.0MP - Photo: 3264 x 2448 / Video: 1920 x 1080p30 fps
,,,1.5 m,,2.4 GHz,,50.8 mm,AC 100-240V,914.4 cm,,,,,,,,,,0.0000000003  TB,,45.00 g,100.00 mm,,1
,,,10.6 m,,1.6 GHz,,53.34 mm,1 A,1,,,,,,,,,,0.3  TB,,45.35 g,100.45 mm,,200 x 600 dpi
,,,1.5 m,,3.8 GHz,,54 mm,50-60 Hz,219.2 cm,,,,,,,,,,3 TB,,45.36 g,101.60 mm,,Up to 600 x 600dpi (2400 x 600 dpi with Resolution Control)
,,,0.91 m,,0.016 GHz,,54.61 mm,AC 100-240V,1,,,,,,,,,,0.3 TB,,45.40 g,102.00 mm,,8.0MP
,,,1 m,,1.60 GHz,,55 mm,1 A,493.52 cm,,,,,,,,,,0.032  TB,,46.50 g,104.14 mm,,800/1200/2000 DPI
,,,1.524 m,,0.6 GHz,,55.88 mm,50-60 Hz,1,,,,,,,,,,0.32  TB,,47.00 g,105.00 mm,,1
,,,0.30 m,,2.53 GHz,,58.42 mm,AC 100-240V 50 / 60Hz 0.5A,524 cm,,,,,,,,,,0.32  TB,,48.00 g,109.22 mm,,200 x 1
,,,0.600 m,,2.5 GHz,,60 mm,,2,,,,,,,,,,0.32 TB,,48.20 g,110.00 mm,,200 dpi
,,,7 m,,3.30 GHz,,60.96 mm,,286 cm,,,,,,,,,,0.000032 TB,,49.00 g,111.00 mm,,1900x1200
,,,2 m,,2.70 GHz,,61.976 mm,,3,,,,,,,,,,0.035 TB,,49.90 g,111.76 mm,,1920 x 1080
,,,3 m,,3.6 GHz,,62 mm,,048 cm,,,,,,,,,,0.0362 TB,,50.00 g,114.30 mm,,2256 x 1504
,,,,,1.8 GHz,,63.5 mm,,4,,,,,,,,,,0.0364 TB,,51.00 g,116.84 mm,,1024 x 600
,,,,,4.00 GHz,,65.532 mm,,572 cm,,,,,,,,,,0.36  TB,,51.03 g,119.38 mm,,1920 x 1280
,,,,,2.10 GHz,,66.04 mm,,3,,,,,,,,,,0.0369  TB,,52.00 g,120.00 mm,,1920x1080
,,,,,0.016 GHz,,68.58 mm,,0480 cm,,,,,,,,,,0.036 TB,,53.00 g,121.92 mm,,2880 x 1800
,,,,,3.10 GHz,,68.91 mm,,,,,,,,,,,,3 TB,,54.00 g,123.00 mm,,2048 x 1536
,,,,,2.80 GHz,,70 mm,,,,,,,,,,,,3 TB SED,,54.20 g,123.95 mm,,2560 x 1600
,,,,,2.8 GHz,,71.12 mm,,,,,,,,,,,,0.0043 TB,,55.00 g,124.46 mm,,1680x1050
,,,,,3.2 GHz,,73.66 mm,,,,,,,,,,,,0.04  TB,,56.00 g,127.00 mm,,1440 x 900
,,,,,1.9 GHz,,76.2 mm,,,,,,,,,,,,0.4  TB,,57.00 g,129.00 mm,,1280 x 800
,,,,,2.13 GHz,,78.74 mm,,,,,,,,,,,,4 TB,,58.00 g,129.54 mm,,2560 x 1440
,,,,,1.13 GhH,,80 mm,,,,,,,,,,,,0.4 TB,,58.97 g,132.08 mm,,1280 x 800 WXGA HD Resolution
,,,,,0.00266 GHz,,81.28 mm,,,,,,,,,,,,0.04 TB,,59.00 g,134.62 mm,,3840 x 2160
,,,,,2.66 GHz,,83.82 mm,,,,,,,,,,,,0.45  TB,,60.00 g,136.00 mm,,1366 x 768
,,,,,3.20 GHz,,85 mm,,,,,,,,,,,,0.45 TB,,61.00 g,137.16 mm,,1680 x 1050
,,,,,3.60 GHz,,86.36 mm,,,,,,,,,,,,0.00045 TB,,62.00 g,139.70 mm,,2736 x 1824
,,,,,1.60 GHz,,88.9 mm,,,,,,,,,,,,0.048  TB,,62.40 g,140.00 mm,,1600 x 900
,,,,,3.4 GHz,,91.44 mm,,,,,,,,,,,,48  TB,,65.00 g,142.00 mm,,3200 x 1800
,,,,,0.4 GHz,,94 mm,,,,,,,,,,,,0.48  TB,,66.00 g,142.24 mm,,1280 x 800 (WXGA)
,,,,,3.60 GHz,,99.06 mm,,,,,,,,,,,,0.48- TB,,67.00 g,144.00 mm,,1920 x 1200
,,,,,3.06 GHz,,100 mm,,,,,,,,,,,,0.00000048 TB,,68.00 g,144.78 mm,,
,,,,,0.032 GHz,,101.6 mm,,,,,,,,,,,,0.004 TB,,69.00 g,149.86 mm,,
,,,,,2.30 GHz,,104.14 mm,,,,,,,,,,,,0.004 TB,,70.00 g,150.00 mm,,
,,,,,3.20 GHz,,106.68 mm,,,,,,,,,,,,0.004 TB,,71.00 g,151.00 mm,,
,,,,,1.50 GHz,,111.5 mm,,,,,,,,,,,,0.004 TB,,72.00 g,152.40 mm,,
,,,,,2.26 GHz,,111.76 mm,,,,,,,,,,,,0.004 TB,,73.00 g,154.94 mm,,
,,,,,3.7 GHz,,114.3 mm,,,,,,,,,,,,0.004 TB,,73.99 g,157.48 mm,,
,,,,,2.3 GHz,,116.84 mm,,,,,,,,,,,,0.004 TB,,75.00 g,160.00 mm,,
,,,,,3.3 GHz,,119.38 mm,,,,,,,,,,,,0.004 TB,,76.00 g,160.02 mm,,
,,,,,0.667 GHz,,121.92 mm,,,,,,,,,,,,4 TB,,77.00 g,162.56 mm,,
,,,,,0.3 GHz,,124.46 mm,,,,,,,,,,,,4 TB,,80.00 g,164.00 mm,,
,,,,,2.70 GHz,,127 mm,,,,,,,,,,,,5  TB,,81.00 g,165.10 mm,,
,,,,,2.8 GHz,,129.54 mm,,,,,,,,,,,,5 x 0.4 TB,,83.20 g,167.64 mm,,
,,,,,1 GHz,,132.08 mm,,,,,,,,,,,,0.5 TB,,83.30 g,168.80 mm,,
,,,,, 1.05 GHz ,,134.62 mm,,,,,,,,,,,,0.05 TB,,84.00 g,170.18 mm,,
,,,,,2.7 GHz,,135 mm,,,,,,,,,,,,0.000000000512  TB,,85.00 g,172.72 mm,,
,,,,,3.30 GHz,,137.16 mm,,,,,,,,,,,,0.512 TB,,85.05 g,175.26 mm,,
,,,,,3.66 GHz,,139.7 mm,,,,,,,,,,,,0.000512  TB,,86.00 g,177.80 mm,,
,,,,,0.5 GHz,,147.32 mm,,,,,,,,,,,,0.512 TB,,86.20 g,180.00 mm,,
,,,,,3 GHz,,149.86 mm,,,,,,,,,,,,0.000512 TB,,87.00 g,180.34 mm,,
,,,,,2.10 GHz,,152.4 mm,,,,,,,,,,,,5 TB,,88.00 g,182.88 mm,,
,,,,,4 GHz,,154.94 mm,,,,,,,,,,,,6  TB,,89.00 g,186.00 mm,,
,,,,,3 GHz,,157.48 mm,,,,,,,,,,,,6  TB,,90.00 g,187.96 mm,,
,,,,,3.70 GHz,,158.75 mm,,,,,,,,,,,,0.06 TB,,90.70 g,189.00 mm,,
,,,,,1.7 GHz,,160.02 mm,,,,,,,,,,,,0.6 TB,,90.71 g,189.74 mm,,
,,,,,0.866 GHz,,165.1 mm,,,,,,,,,,,,6  TB,,90.72 g,190.00 mm,,
,,,,,3.80 GHz,,170.18 mm,,,,,,,,,,,,0.000064  TB,,90.90 g,190.50 mm,,
,,,,,4.00 GHz,,177.8 mm,,,,,,,,,,,,0.064 TB,,93.00 g,192.00 mm,,
,,,,,2.33 GHz,,180.34 mm,,,,,,,,,,,,0.000064 TB,,94.00 g,193.04 mm,,
,,,,,0.366 GHz,,181.67 mm,,,,,,,,,,,,0.006 TB,,95.00 g,194.50 mm,,
,,,,,4.0 GHz,,185 mm,,,,,,,,,,,,6 TB,,96.00 g,195.00 mm,,
,,,,,4.3 GHz,,185.42 mm,,,,,,,,,,,,7000 TB,,97.00 g,195.10 mm,,
,,,,,3.1 GHz,,200.66 mm,,,,,,,,,,,,0.0728 TB,,98.00 g,195.50 mm,,
,,,,,2.80 GHz,,202.8 mm,,,,,,,,,,,,0.0000728 TB,,98.90 g,198.00 mm,,
,,,,,2.90 GHz,,203.2 mm,,,,,,,,,,,, 0.072 TB,,99.00 g,198.12 mm,,
,,,,,3.40 GHz,,205.74 mm,,,,,,,,,,,,0.0734 TB,,100.00 g,200.00 mm,,
,,,,,2.05 GHz,,208.28 mm,,,,,,,,,,,,73000,,100.08 g,200.66 mm,,
,,,,,4.1 GHz,,210 mm,,,,,,,,,,,,0.0734  TB,,101.00 g,201.17 mm,,
,,,,,3 GHz,,210.82 mm,,,,,,,,,,,,0.073 TB,,102.00 g,203.20 mm,,
,,,,,,,213.36 mm,,,,,,,,,,,,0.074 TB,,103.00 g,205.74 mm,,
,,,,,,,219.3 mm,,,,,,,,,,,,0.75  TB,,104.00 g,215.90 mm,,
,,,,,,,223.52 mm,,,,,,,,,,,,0.75 TB,,105.00 g,216.00 mm,,
,,,,,,,231.14 mm,,,,,,,,,,,,8  TB,,106.00 g,218.44 mm,,
,,,,,,,236.22 mm,,,,,,,,,,,,0.08 TB,,107.00 g,220.98 mm,,
,,,,,,,242.824 mm,,,,,,,,,,,,0.008 TB,,108.00 g,223.52 mm,,
,,,,,,,245 mm,,,,,,,,,,,,0.008 TB,,109.00 g,224.00 mm,,
,,,,,,,247 mm,,,,,,,,,,,,8 TB,,110.00 g,228.60 mm,,
,,,,,,,248.92 mm,,,,,,,,,,,,0.0091 TB,,111.00 g,231.14 mm,,
,,,,,,,249.7 mm,,,,,,,,,,,,0.9 TB,,112.00 g,233.68 mm,,
,,,,,,,254 mm,,,,,,,,,,,,0.96 TB,,113.00 g,234.00 mm,,
,,,,,,,260 mm,,,,,,,,,,,,0.009 TB,,113.40 g,236.22 mm,,
,,,,,,,264.16 mm,,,,,,,,,,,,,,114.00 g,238.76 mm,,
,,,,,,,266.7 mm,,,,,,,,,,,,,,115.00 g,241.30 mm,,
