Brand,Interface,Model,"Portable Memory (Pen, Memory Card...)",Processor,Material,Condition,Memory Speed,Screen Size,Operating System,Output Voltage,Battery Capacity,Storage Capacity,UPC,Color,Power Supply,Security,Memory,Graphics Card,Data Transfer Rate,Warranty,Category,Clock Speed,Compliant Standards,Cable Length,Input,Cache Memory,RAID Level,Processor Socket,Data Link Protocol,Battery Type,Processor Core,Average Seek Time,Rotational Speed,Weight,Generation,Product Type,Country of Origin,EAN,Memory Type,Reading Speed,Writing Speed,SKU,Resolution
alfa network,ExpressCard34 PCI Express,244166-001,,AMD 252 Opteron,high impact structural copolymer polypropylene,,,,Mac OS X Server,,,16GB (4 x 4GB),092636262396,Orchid Magenta,12V AC Adapter,,,,,,,4.20GHz,WEEE,1.5m,100-240V ~1A,8MB,1,PGA-603,,,,,,0.23 kg 0.50 lbs,,Cache Memory,,4712900430752,PC2100 DDR,,,8441A001AA,800 x 1
allied telesis,FATA,249687-001,,AMD Turion II,imitation leather,,,,Mac OS X Server 10.6 Snow Leopard,,,16GB (8GBx2),841269029278,Green,150W Nano PSU,,,,,,,2.66 GHz,Windows 7 WHQL,1.8 meter (6 ft),50/60Hz,8MB L3 Cache,5,Socket PGA-754,,,,,,0.25kg,,Video Cable,,5704327706151,DDR4 (PC4-17000),,,SATE150ES20,200 dpi
alphacool,FATA Fibre Channel,251244-B21,,i3,iron net,,,,Mac OS X Snow Leopard,,,16GB,844750023724,Iron Gray,240Vdc,,,,,,,2GHz,RoHS,47.24 inch / 120 cm,AC 100-240V 50-60Hz,ECC Protection,6,Socket S1 PGA-638,,,,,,3 lb/1.4 kg,,Notebook sleeve,,5704327582533,Not specified by Manufacturer,,,IB4305,Up to 1
amazon,FC-AL,25HC305,,i5,magnet,,,,Mac OS X v10.5 Leopard,,,32GB,097855065537,Monochrome,4.6A,,,,,,,2.67GHz,S.M.A.R.T,2.4m,DC12-24V,Integrated 2MB Level 2 Cache,10,LGA2011-v3 Socket,,,,,,3.53 oz / 100 g,,Memory Board,,4712900687897,DDR4 (PC4-27700),,,THNU16SIPBLK(6,200 x 2
amd,FTDI FT232RL,25HC307,,i7,microfiber lining,,,,Mac OS and Linux,,,64GB,886227738793,Vintage,230W AC Adapter,,,,,,,1.73GHz,FCC class A and CE approval,10 ft (3.05 m),100-240V ~1.2A,Integrated 2MB Level 2 Cache,0 1 5 6 10 50 60 1+0,Socket 604,,,,,,5.75 oz / 163 g,,KVM Cable,,5025232862368,DDR3L,,,0B28633,400 dpi
amplicomms,Fast Wide SCSI,264166-001,,Intel Xeon MP,microfibre,,,,Microsoft Windows 2000,,,16GB(2 X 8GB),889894346391,Midnight Blue,100-240VAC,,,,,,,1.5GHz,IEEE 802.3,55.91  / 142 cm,50/60Hz, L2 Advanced Smart Cache - 4MB,RAID 0,Socket R LGA-2011,,,,,,0.46 oz / 13 g,,Adaptor Cable,,0888182829103,DDR3 (PC3-10600),,,HUSMH8080ASS201,320*240 (Pixel)
ansmann,Female USB,268290-B21,,Intel Pentium III Processor,molded eva,,,,Novell Netware,,,16MB,888462761420,Cool Gray,600W,,,,,,,2.20 GHz,IEEE 802.3u,14feet,230V AC - 50 / 60 Hz.,L3 2MB,RAID 1,FCLGA2011-3,,,,,,4g,,SAS Cable,,0778656069114,DDR SDRAM,,,T6Q69EA#ABH,Optimal: 1600 x 900
antec,Fiber Channel,283606-001,,AMD Opteron 246,molded polypropylene resin,,,,OS X Server,,,18.2GB,092636309862,Olive,ATX 12V,,,,,,,3.50GHz,IEEE 802.1Q,3 ft [0.9 m],100-240V,,RAID 5,Socket FM2+,,,,,,9.91 oz/281 g,,Operating System,,8714909018951,DDR4 PC4-24000,,,712781-L21,5.0MP
aoc,IDE / EIDE - SCSI,283623-001,,AMD Opteron 2210HE,neoprene,,,,OS X Yosemite,,,18.4GB,132017757551,Mandarin Red,200W,,,,,,,2.40 GHz,IEEE 802.3ab,3 ft,2.5A,,RAID 0 RAID 10,Socket H2 LGA-1155,,,,,,61,,Processor,,0757120831501,DDR3 (PC3-19200),,,Lynx,854 x 480
apacer,IDE / EIDE,283655-001,,AMD Opteron 880,nylon mesh,,,,RouterOS,,,180GB,809186281292,Cosmic Purple,150W Nano PSU,,,,,,,2.83GHz,IEEE 802.1p,120cm,50/60 HZ,,0 1 5 6 50 60 1+0,Socket FCLGA4-755,,,,,,1.2 lb / 0.5 kg,,Smart Array Mezzanine Controller,,5052217042606,Support DDR3,,,LNR0208C-EU,2
